# This file contains the statistics of trip_distance data in NYC datasets
# There are total: 147 550 563 values, in which there are 7670 distinct values
# We also count the number of repeatation for each value as follows: 
('40.94', 12)
('26.64', 123)
('40.96', 8)
('26.66', 104)
('26.69', 112)
('26.68', 116)
('80.85', 1)
('80.60', 1)
('80.63', 1)
('80.65', 1)
('183.13', 1)
('211.20', 1)
('19072628.80', 1)
('10.55', 8428)
('10.54', 8428)
('10.57', 8130)
('10.56', 8333)
('10.51', 8489)
('10.50', 74188)
('10.53', 8158)
('10.52', 8458)
('10.59', 8342)
('10.58', 8297)
('11.52', 6266)
('11.53', 6109)
('11.50', 53757)
('11.51', 6269)
('37.49', 15)
('11.57', 6085)
('11.54', 6156)
('11.55', 6275)
('37.45', 26)
('37.44', 11)
('11.58', 6084)
('11.59', 6109)
('37.41', 15)
('37.40', 123)
('37.43', 14)
('37.42', 14)
('6.62', 14547)
('6.63', 14591)
('6.60', 132143)
('6.61', 14875)
('6.66', 14546)
('12.56', 3613)
('12.55', 3742)
('12.54', 3785)
('12.59', 3555)
('6.69', 14515)
('63.31', 1)
('106.80', 1)
('208.40', 1)
('13.58', 2322)
('13.59', 2349)
('35.49', 17)
('35.48', 15)
('13.50', 21069)
('13.51', 2357)
('13.52', 2460)
('13.53', 2426)
('13.54', 2396)
('13.55', 2341)
('13.56', 2304)
('13.57', 2336)
('89.60', 1)
('107.29', 1)
('800000.20', 1)
('104.80', 2)
('124.65', 1)
('390288.80', 1)
('28.74', 109)
('28.75', 90)
('28.76', 116)
('28.77', 104)
('28.70', 851)
('28.71', 105)
('28.72', 117)
('28.73', 115)
('28.78', 97)
('28.79', 104)
('68.88', 1)
('68.85', 1)
('68.86', 1)
('68.80', 7)
('68.83', 1)
('21.99', 815)
('21.98', 800)
('21.95', 829)
('21.94', 828)
('21.97', 758)
('21.96', 819)
('21.91', 836)
('21.90', 6892)
('21.93', 796)
('21.92', 858)
('77.20', 4)
('33.16', 16)
('33.17', 27)
('33.14', 28)
('33.15', 28)
('33.12', 30)
('33.13', 18)
('33.10', 211)
('33.11', 30)
('102.80', 1)
('102.83', 1)
('33.18', 24)
('33.19', 26)
('173.30', 1)
('6.26', 16895)
('12.16', 4611)
('6.24', 16942)
('12.14', 4620)
('6.22', 17187)
('6.23', 17167)
('12.11', 4656)
('12.10', 40120)
('51.94', 1)
('10083318.00', 1)
('6.28', 16665)
('6.29', 16722)
('7.14', 12319)
('7.15', 12383)
('7.16', 12186)
('7.17', 12247)
('7.10', 109949)
('7.11', 12319)
('7.12', 12255)
('7.13', 12431)
('65000.00', 1)
('7.18', 12056)
('7.19', 11997)
('171.70', 2)
('94.30', 3)
('19.70', 17786)
('19.71', 2018)
('19.72', 2002)
('19.73', 2016)
('19.74', 2022)
('19.75', 2014)
('19.76', 1956)
('19.77', 1994)
('19.78', 1977)
('19.79', 1915)
('89.93', 1)
('192.70', 1)
('5000002.70', 1)
('49.19', 4)
('64.55', 1)
('30.93', 33)
('146.90', 1)
('4667468.70', 1)
('96.73', 1)
('64.50', 6)
('48.21', 5)
('48.20', 25)
('48.23', 2)
('64.51', 2)
('48.25', 3)
('48.24', 6)
('48.27', 1)
('48.26', 2)
('116.28', 1)
('116.26', 1)
('116.23', 1)
('64.58', 1)
('90.39', 2)
('64.59', 1)
('90.30', 1)
('134.40', 1)
('256.60', 1)
('202.40', 1)
('54.59', 3)
('54.58', 4)
('54.55', 6)
('54.54', 2)
('54.57', 3)
('54.56', 3)
('54.51', 2)
('54.50', 16)
('54.52', 3)
('85.40', 1)
('70.35', 1)
('70.34', 1)
('70.31', 2)
('70.30', 5)
('70.32', 1)
('116.18', 1)
('70.39', 1)
('51.89', 2)
('91.13', 1)
('91.10', 5)
('51.81', 1)
('51.80', 19)
('51.83', 1)
('51.82', 1)
('51.85', 7)
('51.84', 2)
('51.87', 1)
('51.86', 1)
('47.64', 2)
('47.65', 4)
('47.66', 4)
('47.67', 4)
('47.60', 30)
('47.61', 4)
('47.62', 8)
('47.63', 4)
('47.68', 5)
('47.69', 3)
('101.50', 2)
('79.10', 2)
('67.09', 2)
('67.04', 2)
('67.05', 1)
('67.06', 2)
('67.00', 9)
('122.86', 1)
('67.02', 1)
('505.50', 1)
('82.41', 1)
('82.40', 3)
('82.44', 1)
('39.14', 13)
('39.15', 6)
('39.16', 5)
('39.17', 10)
('53.83', 3)
('39.11', 15)
('39.12', 10)
('39.13', 12)
('39.18', 7)
('39.19', 9)
('53.89', 3)
('53.88', 1)
('93.10', 1)
('32.39', 32)
('32.38', 31)
('32.37', 29)
('32.36', 25)
('32.35', 30)
('32.34', 27)
('32.33', 33)
('32.32', 24)
('32.31', 30)
('32.30', 240)
('58.07', 1)
('58.05', 2)
('58.02', 2)
('58.03', 1)
('58.00', 15)
('58.01', 1)
('108.33', 1)
('108.30', 1)
('58.08', 2)
('58.09', 1)
('234.50', 1)
('82.70', 3)
('24.41', 159)
('24.40', 1283)
('24.43', 151)
('24.42', 165)
('24.45', 151)
('24.44', 158)
('24.47', 145)
('24.46', 145)
('24.49', 156)
('24.48', 138)
('27.66', 118)
('27.67', 95)
('27.64', 126)
('27.65', 129)
('27.62', 107)
('27.63', 110)
('27.60', 1006)
('27.61', 109)
('800002.01', 1)
('27.68', 116)
('27.69', 123)
('38.91', 9)
('16.35', 2943)
('16.34', 2841)
('16.37', 2894)
('16.36', 2961)
('16.31', 2886)
('16.30', 26946)
('26.49', 127)
('16.32', 2845)
('26.47', 124)
('26.46', 122)
('26.45', 116)
('26.44', 128)
('16.39', 2971)
('26.42', 130)
('40.70', 43)
('26.40', 1071)
('143.10', 1)
('10.73', 7736)
('181.70', 1)
('10.71', 7827)
('10.70', 69423)
